RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
1,40640434,Fowler,452,Germany,Male,35,7,225938.34,2,1,1,109171.88
2,61483847,Johnson,785,France,Male,76,1,77768.3,1,1,0,67628.71
3,38216259,Hill,698,Spain,Female,59,9,138961.72,1,0,0,50178.48
4,90252958,Walker,620,Germany,Male,56,10,216385.77,3,1,0,118759.49
5,95481244,Doyle,456,Germany,Male,34,8,0.0,1,1,0,41609.91
6,60973961,Rhodes,421,Germany,Female,31,6,0.0,3,1,1,64770.18
7,85920173,Mcclain,538,France,Female,48,5,117603.15,1,1,1,127306.06
8,89550237,Miller,370,France,Female,41,0,0.0,3,1,0,176308.89
9,60004987,Henderson,452,Germany,Male,52,0,217884.09,3,0,1,106578.07
10,82469457,Johnson,471,Spain,Female,61,1,104298.24,2,1,0,151821.28
11,71505239,Robinson,816,France,Female,77,5,0.0,2,1,0,152612.12
12,12670111,Wagner,564,Germany,Male,62,5,150022.29,1,0,0,132870.79
13,79586376,Johnson,680,Spain,Male,51,1,0.0,2,1,1,49167.67
14,64284078,Gonzalez,808,Spain,Female,20,0,217894.49,4,1,1,173357.72
15,42462935,Santos,437,Germany,Male,54,9,203625.66,2,0,1,87255.13
16,63072958,Gardner,722,Germany,Female,60,4,159352.71,2,0,1,8842.15
17,37669890,Robinson,449,Spain,Male,57,4,236873.69,2,0,1,48922.53
18,29644182,Lawrence,709,Spain,Female,43,1,15943.57,2,1,1,153109.67
19,45461705,Pacheco,501,Spain,Male,72,5,0.0,2,0,0,13826.67
20,42152369,Smith,480,Germany,Male,40,8,184594.5,2,0,1,29472.88
21,24691235,Shaffer,499,France,Male,61,1,156447.04,2,0,0,138845.36
22,89115899,Wolfe,658,France,Female,56,9,0.0,1,1,0,178520.16
23,74810252,Peterson,607,France,Female,32,1,219430.21,1,1,1,126746.4
24,54090140,Moore,693,Spain,Female,73,2,12532.27,1,1,0,44458.21
25,88153637,Bernard,841,Spain,Male,66,6,190430.7,1,0,0,10682.75
26,49203828,Rogers,763,Germany,Male,21,5,0.0,1,1,0,123025.32
27,19300940,Davis,643,Germany,Male,46,7,155097.79,2,1,1,9479.72
28,12181752,Davis,735,France,Female,39,7,232198.57,1,1,1,122544.41
29,52054355,Abbott,541,France,Male,42,5,190130.6,1,1,0,45115.99
30,81191428,Munoz,793,Germany,Female,30,10,0.0,2,1,1,180931.21
31,48293139,Roman,626,France,Female,35,9,0.0,4,1,0,95018.53
32,99740652,Blair,510,France,Female,50,2,23754.47,2,0,1,44787.69
33,93272717,Herrera,809,Germany,Female,33,2,171198.46,4,1,0,170629.06
34,13887239,Dudley,663,France,Female,62,0,123890.64,2,1,0,50807.08
35,27446191,Gray,371,Spain,Male,59,6,116761.45,1,1,1,61319.82
36,20072142,Arnold,602,France,Male,61,4,0.0,2,1,1,166855.58
37,54082930,Calderon,585,Spain,Male,79,3,235078.19,2,1,1,61758.41
38,77240917,Montgomery,694,France,Male,19,9,94047.68,1,0,1,82032.75
39,40602657,Hensley,398,France,Male,72,3,0.0,1,0,1,69533.13
40,15432561,Ray,824,Germany,Male,52,3,0.0,2,1,0,23280.06
41,41937586,Bush,408,Spain,Female,59,5,160114.73,1,1,0,7779.16
42,98040167,Williams,519,Germany,Male,51,7,32206.85,2,0,0,144908.13
43,58578306,Perez,825,France,Female,47,7,45864.7,1,0,1,129027.42
44,87416831,Roberts,537,France,Female,76,4,18933.21,2,1,1,56473.21
45,66500598,Miller,813,Germany,Female,72,5,96094.48,2,1,0,59119.82
46,15727961,Hall,620,France,Female,30,3,93885.47,1,1,0,189001.16
47,58746297,Garcia,539,France,Female,30,10,141357.92,1,1,0,197534.23
48,15086588,Ramirez,795,Germany,Male,35,8,0.0,2,1,0,94686.98
49,32890439,Reid,524,France,Male,49,7,143319.35,2,1,1,160490.35
50,20603376,Diaz,795,France,Male,49,9,0.0,3,1,0,147337.18
51,29092790,Wood,400,France,Female,52,9,210739.74,1,1,1,59463.54
52,46474230,Clark,713,Spain,Male,76,0,103670.93,2,1,0,11712.54
53,35354831,Adams,404,France,Male,56,1,0.0,1,1,1,28511.25
54,12839593,Zuniga,593,Spain,Female,63,8,36417.7,1,1,1,167658.82
55,42655881,Wong,669,France,Female,69,7,22907.67,1,1,1,146242.76
56,82158008,Lynch,480,Spain,Male,46,2,0.0,2,0,1,132866.97
57,32245973,Jackson,834,France,Female,79,7,15300.6,1,0,0,26129.77
58,42424048,Daniel,656,France,Female,66,0,0.0,1,0,0,127986.14
59,78170863,Martin,484,Spain,Female,46,9,86297.12,2,0,0,154430.47
60,63126965,Gray,370,Spain,Male,79,3,39185.26,2,0,1,172120.35
61,47745965,Mayo,678,Spain,Female,70,2,142854.05,1,1,0,2646.26
62,81043011,Bowman,516,Spain,Female,61,5,137733.49,1,1,0,136895.02
63,52006019,Hawkins,623,France,Female,74,6,170741.07,1,1,0,3819.53
64,99952989,Cohen,737,France,Female,33,3,143785.83,1,0,1,141374.57
65,96047037,Cameron,438,France,Female,73,6,133379.66,2,1,1,127124.27
66,64645731,Parsons,665,Spain,Male,61,8,241974.14,1,1,1,29669.57
67,78630740,Perez,363,France,Male,64,10,228559.6,2,1,0,153224.35
68,58723459,Johnson,591,Spain,Female,74,1,246137.53,3,1,0,13669.52
69,48480960,Stewart,614,France,Female,27,10,236889.2,1,0,0,165279.75
70,10396605,Adams,695,Germany,Male,47,2,0.0,4,0,1,52385.85
71,32138201,Clark,402,France,Male,42,4,126057.9,1,1,0,137770.37
